id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1684110,ORANGE,AJO,5G NR 2100, (FERME DU TILLEUL) 52310 BOLOGNE,52058,"48.1914,5.1631",Pylône autostable,30m,TOTEM,,False,False
1692024,ORANGE,ALL,5G NR 2100, (CUERFACHE) 48210 LA MALENE,48088,"44.2939,3.3217",Pylône autostable,12m,TOTEM,2025-07-31,False,False
1750222,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",R DU GALIBOT STATION D'ÉPURATION ZI N° 14 59880 ST SAULVE,59544,"50.3906,3.5592",Pylône autostable,36m,TOTEM,2005-12-17,False,False
1771206,ORANGE,ALL,"LTE 1800, 5G NR 2100",5 AVENUE GÉNÉRAL CLERGERIE 24160 EXCIDEUIL,24164,"45.3361,1.0456",Pylône autostable,20m,TOTEM,2025-08-03,False,False
1788066,ORANGE,ALL,LTE 2100, (MONTMATIN) 86700 VALENCE EN POITOU,86082,"46.3625,0.1664",Pylône autostable,30m,TOTEM,2025-07-21,False,False
1801081,ORANGE,ALL,5G NR 2100,PRÈS D.940 (L'OUCHE CARROI) 18380 LA CHAPELLE D ANGILLON,18047,"47.3753,2.435",Pylône autostable,41m,TOTEM,2025-08-11,False,False
1809380,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",AV DU GÉNÉRAL DE GAULLE D400 ZAC ST-JACQUES II DUPONT-EST SA EST 54320 MAXEVILLE,54357,"48.7061,6.1331",Pylône tubulaire,"26,5m",TOTEM,2005-02-05,False,False
1818002,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE DE STRASBOURG CHEMIN VICINAL 59300 VALENCIENNES,59606,"50.3492,3.5186",Pylône autostable,35m,HIVORY,2007-10-04,False,False
1820023,ORANGE,ALL,"LTE 1800, 5G NR 2100",PISTE INTERCOMMUNALE 53 DE LENCOUACQ AUX TRAVERSES (LARROSE) 40120 RETJONS,40164,"44.1608,-0.2878",Pylône autostable,42m,TOTEM,2025-07-30,False,False
1827143,ORANGE,ALL,5G NR 3500,IMPASSE DES VIGES ROUTE DE MAZAC D 364 30340 SALINDRES,30305,"44.1611,4.1306",Pylône tubulaire,25m,TOTEM,2025-07-18,False,False
1869715,ORANGE,ALL,LTE 1800,ROUTE DE TALAIRAN (LA COUMELLE) 11220 ST LAURENT DE LA CABRERISSE,11351,"43.0825,2.6867",Pylône autostable,30m,TOTEM,2025-07-21,False,False
1869746,ORANGE,ALL,LTE 700,PRÈS LGV EST / A4 CHEMIN AGRICOLE (MONT RONCIN) 51170 POILLY,51437,"49.2297,3.8283",Pylône autostable,20m,TOTEM,2025-08-20,False,False
1901591,ORANGE,AJO,"LTE 700, 5G NR 2100",CÔTE  ST PIERREMONT SITE TDF 55000 NAIVES ROSIERES,55369,"48.7967,5.2264",Pylône autostable,"24,5m",TDF,,False,False
1901591,ORANGE,SUP,LTE 2100,CÔTE  ST PIERREMONT SITE TDF 55000 NAIVES ROSIERES,55369,"48.7967,5.2264",Pylône autostable,"24,5m",TDF,2021-05-05,False,False
1958359,ORANGE,ALL,"LTE 1800, 5G NR 2100",CHEM DU BAS VITRAT (VITRAT) 23300 ST MAURICE LA SOUTERRAINE,23219,"46.2369,1.3961",Pylône autostable,30m,TOTEM,2025-07-24,False,False
2001216,ORANGE,AJO,"LTE 700, 5G NR 700, 5G NR 3500","52, RUE MICHELET 94700 MAISONS ALFORT",94046,"48.8111,2.4544",Immeuble,"14,7m","Copropriété, Syndic, SCI",,False,False
2001216,ORANGE,SUP,"GSM 900, UMTS 900","52, RUE MICHELET 94700 MAISONS ALFORT",94046,"48.8111,2.4544",Immeuble,"14,7m","Copropriété, Syndic, SCI",2020-09-28,False,False
2015310,ORANGE,AJO,5G NR 2100,CHEM RURAL N°17 - PRÈS D.911 (LES HAUTS CHAMPS) 61800 TINCHEBRAY BOCAGE,61486,"48.7614,-0.7536",Pylône autostable,31m,TDF,,False,False
2015310,ORANGE,SUP,"LTE 2100, 5G NR 700, 5G NR 3500",CHEM RURAL N°17 - PRÈS D.911 (LES HAUTS CHAMPS) 61800 TINCHEBRAY BOCAGE,61486,"48.7614,-0.7536",Pylône autostable,31m,TDF,2019-02-25,False,False
2046818,ORANGE,AJO,"LTE 700, LTE 1800, 5G NR 2100",ZONE D'ACTIVITÉS LAFAYETTE SERVICES TECHNIQUES MUNICIPAUX 42470 ST SYMPHORIEN DE LAY,42289,"45.9511,4.2019",Pylône autostable,"25,3m",TOTEM,,False,False
2046818,ORANGE,SUP,LTE 2100,ZONE D'ACTIVITÉS LAFAYETTE SERVICES TECHNIQUES MUNICIPAUX 42470 ST SYMPHORIEN DE LAY,42289,"45.9511,4.2019",Pylône autostable,"25,3m",TOTEM,2021-02-22,False,False
2054245,ORANGE,AJO,"5G NR 700, 5G NR 3500",208 R HENRI BARBUSSE 93700 DRANCY,93029,"48.9222,2.4569",Immeuble,32m,Société HLM,,False,False
2079913,ORANGE,AJO,5G NR 2100,RD 110 (LA CHARMOTTE) 52240 CLEFMONT,52132,"48.1006,5.5067",Pylône autostable,56m,TDF,,False,False
2104959,ORANGE,AJO,"LTE 1800, 5G NR 2100",6 RUE DE LA GARE 60310 ECUVILLY,60204,"49.6533,2.9192",Pylône autostable,"32,5m",TOTEM,,True,False
2106265,ORANGE,AJO,"LTE 1800, 5G NR 2100",18 RUE DU CHATEAU 59470 HOUTKERQUE,59318,"50.8756,2.5917",Pylône autostable,12m,TOTEM,,True,False
2117133,ORANGE,ALL,5G NR 3500,ROUTE DE PUJO (COUCHOUA) 40190 VILLENEUVE DE MARSAN,40331,"43.8775,-0.3208",Pylône autostable,45m,TDF,2025-07-16,False,False
2126271,ORANGE,AJO,5G NR 2100, (BEL AIR) 42110 CHAMBEON,42041,"45.7083,4.1661",Pylône autostable,25m,TOTEM,,False,False
2130045,ORANGE,ALL,"LTE 1800, 5G NR 2100",DÉPARTEMENTALE N°238 DE HIERS BROUAGE À MARENNES (LE PINIER) 17250 TRIZAY,17453,"45.895,-0.9031",Pylône autostable,24m,TOTEM,2025-08-04,False,False
2156743,ORANGE,ALL,"LTE 1800, 5G NR 2100",STADE LA MAROTTE 24230 VELINES,24568,"44.8586,0.1125",Pylône tubulaire,18m,"Commune, communauté de communes",2025-07-16,False,False
2163936,ORANGE,ALL,LTE 2100,CHE RURAL DE COULOMBIERS (BEAUVAIS) 86370 MARCAY,86145,"46.4872,0.2203",Pylône autostable,40m,TOTEM,2025-08-11,False,False
2190791,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500",1 ROUTE DE ROUEN 60350 TROSLY BREUIL,60647,"49.4039,2.9792",Pylône autostable,38m,TOTEM,,False,False
2190791,ORANGE,SUP,LTE 700,1 ROUTE DE ROUEN 60350 TROSLY BREUIL,60647,"49.4039,2.9792",Pylône autostable,38m,TOTEM,2020-02-11,False,False
2192995,ORANGE,AJO,"LTE 1800, 5G NR 2100",RUE MONT MIDI (LA GISSIERE) 57810 MAIZIERES LES VIC,57434,"48.7169,6.7811",Pylône autostable,33m,TDF,,True,False
2198630,ORANGE,ALL,"5G NR 700, 5G NR 3500", (LE MAS) 23150 AHUN,23001,"46.0764,2.0358",Pylône autostable,"37,5m",TOTEM,2025-08-11,False,False
2200315,ORANGE,ALL,LTE 700,RUE DU MOULIN GENTIL (LE MOULIN) 17290 LE THOU,17447,"46.0908,-0.9236",Pylône autostable,24m,TOTEM,2025-08-18,False,False
2221053,ORANGE,AJO,5G NR 2100,9 R DES MUROTS (AU CHAMPS) 25820 LAISSEY,25323,"47.2983,6.2269",Pylône autostable,36m,TDF,,False,False
