id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
3016222,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",CHEM D'EXPLOITATION NUMERO 7 (LES MARAIS SAINT AARON) 22400 LAMBALLE ARMOR,22093,"48.5189,-2.4933",Pylône autostable,"36,8m",CELLNEX,False,True
3016298,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",435 RUE DES GENTIANES 39000 LONS LE SAUNIER,39300,"46.6747,5.5753",Bâtiment,31m,"Commune, communauté de communes",False,True
3016559,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800",CHEMIN DU PUECH DE VIERNE 30980 LANGLADE,30138,"43.8031,4.2603",Pylône autostable,32m,BOUYGUES,True,True
3016643,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",14 RUE DES ACACIAS 09330 MONTGAILHARD,09207,"42.9414,1.6267",Pylône autostable,30m,SFR,False,True
3016749,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800",CHEMIN DE CHAUPLANE (AUX RAVEIRES GRESSE-EN-VERCORS) 38650 GRESSE EN VERCORS,38186,"44.8764,5.5694",Pylône autostable,"36,0m",TOTEM,True,True
3016854,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",RUE DIDEROT 78520 FOLLAINVILLE DENNEMONT,78239,"49.015,1.7167",Pylône arbre,"19,3m",CELLNEX,False,True
3017633,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",R DE L'EGLISE 23000 GUERET,23096,"46.1711,1.8678",Monument religieux,42m,"Commune, communauté de communes",False,True
3017653,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800",CHEMIN D'EXPLOITATION NO 11 CHEMIN DIT DE CISSAC NORD (FONPIALOUS) 12420 CANTOIN,12051,"44.8264,2.8153",Pylône autostable,30m,SFR,True,True
3017667,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",RUE DES NAYARDS (LA BROYE) 39190 BEAUFORT ORBAGNA,39043,"46.5814,5.4347",Pylône autostable,"36,0m",SFR,False,True
3017912,BOUYGUES TELECOM,SUP,5G NR 2100,8 ALL EUGÈNE DELACROIX (ESPACES DU PALAIS) 76000 ROUEN,76540,"49.4431,1.0931",Bâtiment,"12,0m",Société Privée,False,True
