id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support
1586270,FREE MOBILE,ALL,5G NR 3500,47 À 51 BOULEVARD DE LALIBERTÉ 62000 ARRAS,62041,"50.2967,2.7644",Immeuble,"34,6m","Copropriété, Syndic, SCI"
1592342,BOUYGUES TELECOM,ALL,5G NR 3500,39 COURS DE VINCENNES 75020 PARIS 20,75120,"48.8483,2.4031",Immeuble,39m,"Copropriété, Syndic, SCI"
1615610,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",135 BOULEVARD MARECHAL LECLERC THÉATRE 14000 CAEN,14118,"49.1803,-0.3625",Bâtiment,"28,4m","Commune, communauté de communes"
1624008,BOUYGUES TELECOM,ALL,5G NR 3500,122 AV DU GENERAL LECLERC 75014 PARIS 14,75114,"48.825,2.3256",Immeuble,"40,9m","Copropriété, Syndic, SCI"
1624236,FREE MOBILE,ALL,"LTE 700, LTE 2100, 5G NR 700",21 RUE PIERRE ET AUGUSTE MASSALOUP 34140 MEZE,34157,"43.4256,3.6061",Immeuble,"20,7m","Copropriété, Syndic, SCI"
1629668,FREE MOBILE,ALL,5G NR 3500,7 RUE DU VALENGELIER  77500 CHELLES,77108,"48.8922,2.5933",Pylône tubulaire,"31,1m","Copropriété, Syndic, SCI"
1631442,ORANGE,ALL,LTE 700,ANCIENNE ROUTE NATIONALE (MONT ST SYLVESTRE) 62142 LONGUEVILLE,62526,"50.7347,1.8797",Mât,5m,ORANGE
1633336,BOUYGUES TELECOM,ALL,"LTE 700, 5G NR 3500",DOMAINE DE BEAUSÉJOUR 34410 SERIGNAN,34299,"43.2661,3.3325",Immeuble,"14,7m",Particulier
1636690,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",ZAC PARIS NORD 2 93420 VILLEPINTE,93078,"48.9703,2.5236",Bâtiment,23m,Société Privée
1656443,SFR,ALL,5G NR 2100,(TRAON AR VILIN PARC BRAS) 29400 LAMPAUL GUIMILIAU,29097,"48.5033,-4.0283",Pylône autostable,42m,HIVORY
1661786,BOUYGUES TELECOM,ALL,"LTE 700, 5G NR 3500",21 R DES BOULEAUX (LA BOULETERIE) 44600 ST NAZAIRE,44184,"47.2633,-2.2583",Immeuble,42m,"Commune, communauté de communes"
1661786,SFR,ALL,"LTE 700, 5G NR 3500",21 R DES BOULEAUX (LA BOULETERIE) 44600 ST NAZAIRE,44184,"47.2633,-2.2583",Immeuble,42m,"Commune, communauté de communes"
1680971,BOUYGUES TELECOM,ALL,LTE 1800,CEA CADARACHE (LE CASTELLET) 13115 ST PAUL LES DURANCE,13099,"43.6947,5.7333",Pylône autostable,23m,TOTEM
1681150,SFR,ALL,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100, 5G NR 2100",RD 948 (LE CONCÈS) 45600 VILLEMURLIN,45340,"47.6678,2.3625",Pylône autostable,"43,1m",TDF
1684892,FREE MOBILE,ALL,5G NR 3500,27 RUE FRANÇOIS PEISSEL 69300 CALUIRE ET CUIRE,69034,"45.7939,4.8392",Immeuble,"20,4m","Copropriété, Syndic, SCI"
1685111,SFR,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100, 5G NR 2100",LES DEVESES D39 (MAS AZIDRET) 66180 VILLENEUVE DE LA RAHO,66227,"42.6425,2.8972",Pylône autostable,"29,9m",ATC FRANCE
